line,filename,lines,type,character,text
0,anna.txt,468,META,undefined,undefined
2,undefined,undefined,dialogue,Jill,...
3,undefined,undefined,dialogue,Jill,"Hey Fore, leave Gaby alone. Let her sleep."
4,undefined,undefined,dialogue,Anna,Happy new year!
5,undefined,undefined,dialogue,Jill,...
6,undefined,undefined,dialogue,Anna,I said... Happy. New. Year!
7,undefined,undefined,dialogue,Jill,...
8,undefined,undefined,dialogue,Anna,*ahem* I said... HA-
9,undefined,undefined,dialogue,Jill,I heard you the first time.
10,undefined,undefined,dialogue,Anna,"Then answer the first time, would you? Don't be rude."
11,undefined,undefined,dialogue,Jill,You trespass into my house and I'm the rude one?
12,undefined,undefined,dialogue,Anna,"I didn't trespass, I just showed up here."
13,undefined,undefined,dialogue,Jill,That's trespassing.
14,undefined,undefined,dialogue,Anna,"Trespassing implies passing. I just appeared here, thus there was no passing."
15,undefined,undefined,dialogue,Jill,And how exactly did you do that?
16,undefined,undefined,dialogue,Anna,"Oh, hey! You're talking to me directly!"
17,undefined,undefined,dialogue,Jill,Don't change the subject!
18,undefined,undefined,dialogue,Anna,I'm so happy you're not pulling that whole telepath crap.
19,undefined,undefined,dialogue,Jill,You're the one being a telepath.
20,undefined,undefined,dialogue,Anna,"But I can't read minds. I can read words, however."
21,undefined,undefined,dialogue,Jill,...?
22,undefined,undefined,dialogue,Jill,"No, what I mean is that I'm not the one reading thoughts, so I'm not..."
23,undefined,undefined,dialogue,Jill,"Agh, forget it."
24,undefined,undefined,dialogue,Jill,Why are you here?
25,undefined,undefined,dialogue,Anna,I wanted to wish you a happy new year.
26,undefined,undefined,dialogue,Jill,So you were bored.
27,undefined,undefined,dialogue,Anna,Being bored has nothing to do with me wishing you happy holidays.
28,undefined,undefined,dialogue,Jill,But it helps.
29,undefined,undefined,dialogue,Anna,I won't deny that.
30,undefined,undefined,dialogue,Anna,"Still, you deserve some congratulations, Jo!"
31,undefined,undefined,dialogue,Anna,You closed off an old chapter of your life and grew as a person!
32,undefined,undefined,dialogue,Anna,"That always deserves some cheers. In fact, let's make a toast."
33,undefined,undefined,dialogue,Anna,Mind if I grab a Beer?
34,undefined,undefined,dialogue,Jill,"I do, actually. I don't wanna clean beer off the floor."
35,undefined,undefined,dialogue,Anna,You don't know if that's what'll happen.
36,undefined,undefined,dialogue,Jill,"Trust me, I know."
37,undefined,undefined,dialogue,Anna,But the to-o-o-o-oast...
38,undefined,undefined,dialogue,Jill,"It's the thought that counts, let's leave it at that."
39,undefined,undefined,dialogue,Anna,"Fine, sheesh."
40,undefined,undefined,dialogue,Anna,Oh! Hey kitty!
41,undefined,undefined,dialogue,Jill,I wonder if Fore can see you.
42,undefined,undefined,dialogue,Anna,"With cats, you never know..."
43,undefined,undefined,dialogue,Anna,"He might see me, or he might be seeing an interesting speck of dust."
44,undefined,undefined,dialogue,Anna,"Hey Jo, let's play a game."
45,undefined,undefined,dialogue,Jill,What kind of game?
46,undefined,undefined,dialogue,Anna,Truth or truth.
47,undefined,undefined,dialogue,Jill,Don't you mean Truth or Dare?
48,undefined,undefined,dialogue,Anna,"No, dares with me wouldn't be too fun, I'm guessing."
49,undefined,undefined,dialogue,Anna,We ask questions to each other and we can't lie.
50,undefined,undefined,dialogue,Anna,You'll even get your ever-so-precious dialogue choices! Ain't that nice?
51,undefined,undefined,dialogue,Jill,The what now?
52,undefined,undefined,dialogue,Anna,"I'm thinking out loud, don't mind me."
53,undefined,undefined,dialogue,Jill,Right...
54,undefined,undefined,dialogue,Jill,Will you keep your word on that?
55,undefined,undefined,dialogue,Anna,I don't lie.
56,undefined,undefined,dialogue,Jill,"...fine, I'll play with you."
57,undefined,undefined,dialogue,Anna,Great! You start.
58,undefined,undefined,dialogue,Jill,Hm...
59,undefined,undefined,dialogue,Jill,Just... what are you?
60,undefined,undefined,dialogue,Anna,A cute girl!
61,undefined,undefined,dialogue,Jill,That's not what I meant.
