line,filename,lines,type,character,text
0,anna_script.txt,749,META,undefined,undefined
2,undefined,undefined,dialogue,Jill,...
3,undefined,undefined,dialogue,Jill,*yawn*
4,undefined,undefined,dialogue,Jill,"*sigh* (Man, such a slow night...)"
5,undefined,undefined,dialogue,Jill,...
6,undefined,undefined,dialogue,Jill,(At least I'm not serving dogs.)
7,undefined,undefined,dialogue,Jill,...
8,undefined,undefined,dialogue,Jill,"(Normally, this would be where a dog shows up like a cheap punchline.)"
9,undefined,undefined,dialogue,Jill,(...I guess not.)
10,undefined,undefined,dialogue,Jill,"(Speaking of dogs, I wonder where the hell's Gil?)"
11,undefined,undefined,dialogue,Dana,Bored?
12,undefined,undefined,dialogue,Jill,...
13,undefined,undefined,dialogue,Jill,WAAAAAH!!
14,undefined,undefined,dialogue,Dana,"Sorry, did I wake you up?"
15,undefined,undefined,dialogue,Jill,I-I wasn't sleeping. My eyes were open!
16,undefined,undefined,dialogue,Dana,"You went to college, right? You know having your eyes open means nothing."
17,undefined,undefined,dialogue,Dana,"Don't worry, I don't blame you. It's been a really long time since we've had such a slow night."
18,undefined,undefined,dialogue,Dana,"In fact, I think the last time we had a night this slow was before you started working here."
19,undefined,undefined,dialogue,Jill,Really?
20,undefined,undefined,dialogue,Dana,"Yeah, it happened when Robert was still working here."
21,undefined,undefined,dialogue,Jill,Who?
22,undefined,undefined,dialogue,Dana,"My first employee. The poor idiot bought a ""levitation potion"" and threw himself off a building."
23,undefined,undefined,dialogue,Jill,Oh...
24,undefined,undefined,dialogue,Dana,"...as it turned out, the potion actually worked."
25,undefined,undefined,dialogue,Jill,...come again?
26,undefined,undefined,dialogue,Dana,He started rising in the air... and couldn't stop.
27,undefined,undefined,dialogue,Dana,They later found his body smeared across the nose of a commercial flight that was on its way to Kanjevania.
28,undefined,undefined,dialogue,Dana,But anyway...
29,undefined,undefined,dialogue,Jill,(Should you really dismiss that so easily?)
30,undefined,undefined,dialogue,Dana,"We didn't have a single client that night. Not even a lost soul asking for directions. But then, suddenly, a kid shows up."
31,undefined,undefined,dialogue,Dana,"He was obviously underage, but I was bored, so I decided to let him order something."
32,undefined,undefined,dialogue,Dana,"I gave him one Karmotrine-free drink. I mean, even if I was letting him order, I wasn't about to give alcohol to an underaged boy."
33,undefined,undefined,dialogue,Dana,"And then, when the time came for him to pay his tab... he realized he didn't have enough money."
34,undefined,undefined,dialogue,Dana,"He then yanked his shirt over his head, started screaming he's a ghost, and tried to escape!"
35,undefined,undefined,dialogue,Dana,"So, I kicked him so hard that he flew out of the bar, and told him ghosts shouldn't feel pain!"
36,undefined,undefined,dialogue,Jill,...
37,undefined,undefined,dialogue,Jill,"...Boss, did you really kick an underage kid?"
38,undefined,undefined,dialogue,Dana,Of course not! I just gave him a warning and made him wash a couple of dishes.
39,undefined,undefined,dialogue,Dana,"The fact that you even thought for a moment that I would kick a young, innocent child hurts me to no end, you know?"
40,undefined,undefined,dialogue,Dana,"Anyway, just... keep it up. Someone will show up sooner or later."
41,undefined,undefined,dialogue,Jill,I sure hope so.
42,undefined,undefined,dialogue,Jill,"...hoooooooold on. Come to think of it. Aren't Gil's checks made out to ""Robert""?"
43,undefined,undefined,dialogue,Dana,...noooooooooooooooooo... *cough*
44,undefined,undefined,dialogue,Jill,"*sigh* Well, at least that story killed a couple of minutes..."
45,undefined,undefined,dialogue,Jill,...
46,undefined,undefined,dialogue,Jill,...I think I'll... I don't know... sort the glasses here or something.
47,undefined,undefined,dialogue,Jill,...
48,undefined,undefined,dialogue,Jill,"...(Huh, we had a fedora-shaped glass?)"
49,undefined,undefined,dialogue,Anna,Um... Anybody here?
50,undefined,undefined,dialogue,Jill,Ah! Sorry! I'll be right the - OUCH.
51,undefined,undefined,dialogue,Anna,A-Are you okay?
52,undefined,undefined,dialogue,Jill,"I'm fine, yeah."
53,undefined,undefined,dialogue,Jill,"Welcome to Valhalla, what can I get... you... um..."
54,undefined,undefined,dialogue,Anna,Something wrong?
55,undefined,undefined,dialogue,Jill,Are you sure you're old enough to drink?
56,undefined,undefined,dialogue,Anna,"Well, seeing how I'm old enough to eat solid food, I'm gonna guess that drinking won't be a problem."
57,undefined,undefined,dialogue,Jill,You know that's not what I meant.
