line,filename,lines,type,character,text
0,epilogues.txt,201,META,undefined,undefined
2,undefined,undefined,dialogue,Jill,"This is good, really good."
3,undefined,undefined,dialogue,Jill,You have no idea how long I've wanted some curry.
4,undefined,undefined,dialogue,Jill,"I remember I meant to eat some, but then I had to pay for some drinks I spilled on the floor."
5,undefined,undefined,dialogue,Jill,That screwed up my budget.
6,undefined,undefined,dialogue,Virgilio,It's the least I can do after being such an obnoxious client.
7,undefined,undefined,dialogue,Jill,"Yeah, about that. Mind if I ask something? Mister... Timothy Mercury."
8,undefined,undefined,dialogue,Virgilio,So you know?
9,undefined,undefined,dialogue,Jill,It's a small city. Turns out two very grateful girls soon became regulars and both of them were related to you.
10,undefined,undefined,dialogue,Virgilio,"So what's your question, Bartender?"
11,undefined,undefined,dialogues,Jill,Call me Jill.
12,undefined,undefined,dialogue,Jill,"Two questions, actually."
13,undefined,undefined,dialogue,Jill,"The first one is, why did they brand you as a traitor? Because you killed the other guy?"
14,undefined,undefined,dialogue,Jill,I don't know. It sounds weird considering the other guy assaulted two little girls.
15,undefined,undefined,dialogue,Virgilio,It was a cover up.
16,undefined,undefined,dialogue,Virgilio,The guy was my superior.
17,undefined,undefined,dialogue,Virgilio,"A high-ranking officer like him, assaulting innocent civilians? That would be unthinkable... on paper at least."
18,undefined,undefined,dialogue,Virgilio,"On record, I hurt the girls and killed him before another unit subdued me, then I escaped from their custody."
19,undefined,undefined,dialogue,Virgilio,In reality...
20,undefined,undefined,dialogue,Jill,...
21,undefined,undefined,dialogue,Jill,That's all I needed to know. Sorry for bringing that up.
22,undefined,undefined,dialogue,Virgilio,Didn't you have another question?
23,undefined,undefined,dialogue,Jill,Yeah. How did you build this restaurant so fast?
24,undefined,undefined,dialogue,Virgilio,It's a small city. Turns out two very grateful girls tracked me down to thank me.
25,undefined,undefined,dialogue,Virgilio,One of them was rich and the other noticed I smelled like curry.
26,undefined,undefined,dialogue,Jill,"Heh... those two are really nice girls, huh?"
27,undefined,undefined,dialogue,Virgilio,They didn't deserve what that bastard did to them.
28,undefined,undefined,dialogue,Stella,Excuse me...
29,undefined,undefined,dialogue,Virgilio,"Oh, speaking of the angels."
30,undefined,undefined,dialogue,Sei,"Timmy! Two special curries, please."
31,undefined,undefined,dialogue,Sei,"Oh, hi Jill!"
32,undefined,undefined,dialogue,Stella,Oh god! I can't believe I'm actually here! The concert will begin any second now!
33,undefined,undefined,dialogue,Stella,KYAAAAAAAAAAAAAAH!!
