line,filename,lines,type,character,text
0,pro3.txt,602,META,undefined,undefined
2,undefined,undefined,dialogue,Jill,G'evening.
3,undefined,undefined,dialogue,Jill,"You look bummed, Boss."
4,undefined,undefined,dialogue,Dana,"Starting tomorrow, there will be no more Corgis in our bar. Why wouldn't I be sad?"
5,undefined,undefined,dialogue,Jill,"(Maybe because starting tomorrow, there will be no more Corgis at the bar.)"
6,undefined,undefined,dialogue,Dana,...I wonder if the Shiba Appreciation Society might be interested in booking us.
7,undefined,undefined,dialogue,Jill,"One problem at a time, Boss."
8,undefined,undefined,dialogue,Dana,"Wait, I know someone from the Pomeranian Development Institute!"
9,undefined,undefined,dialogue,Jill,ONE PROBLEM AT A TIME!!
10,undefined,undefined,dialogue,Jill,"Still, you've been tense ever since Friday. Are you worried about Gil or something?"
11,undefined,undefined,dialogue,Dana,"Trust me. Of all my worries, Gil is the least of them."
12,undefined,undefined,dialogue,Dana,"Put on some music and enjoy the day, won't you?"
13,undefined,undefined,dialogue,Jill,Right...
14,undefined,undefined,dialogue,Jill,Time to mix drinks and change lives.
15,undefined,undefined,dialogue,Betty,"Bartender, we meet again."
16,undefined,undefined,dialogue,Jill,Oh... Ms. Betty.
17,undefined,undefined,dialogue,Deal,Hello.
18,undefined,undefined,dialogue,Jill,And Mr. Corgi Lover.
19,undefined,undefined,dialogue,Deal,Call me Deal.
20,undefined,undefined,dialogue,Jill,Deal.
21,undefined,undefined,dialogue,Deal,Deal?
22,undefined,undefined,dialogue,Jill,Deal.
23,undefined,undefined,dialogue,Betty,"...wipe that satisfied look off your faces, you two."
24,undefined,undefined,dialogue,Jill,*ahem* What can I serve you today?
25,undefined,undefined,dialogue,Betty,I'll have a Beer.
26,undefined,undefined,dialogue,Deal,"I'm not the designated driver today, so... give me a Fringe Weaver."
27,undefined,undefined,dialogue,Jill,"...alright, coming right up."
28,undefined,undefined,dialogue,Jill,Here.
29,undefined,undefined,dialogue,Betty,Thanks.
30,undefined,undefined,dialogue,Deal,Thank you.
31,undefined,undefined,dialogue,Jill,Here.
32,undefined,undefined,dialogue,Betty,Thanks.
33,undefined,undefined,dialogue,Deal,Something's not right here.
34,undefined,undefined,dialogue,Jill,...
35,undefined,undefined,dialogue,Jill,Here.
36,undefined,undefined,dialogue,Deal,Thank you.
37,undefined,undefined,dialogue,Betty,There's something wrong here. My drink.
38,undefined,undefined,dialogue,Jill,...
39,undefined,undefined,dialogue,Jill,Here.
40,undefined,undefined,dialogue,Deal,This doesn't seem right.
41,undefined,undefined,dialogue,Betty,You too?!
42,undefined,undefined,dialogue,Jill,...
43,undefined,undefined,dialogue,Jill,...
44,undefined,undefined,dialogue,Deal,You seem distracted.
45,undefined,undefined,dialogue,Betty,Has serving so many dogs finally gotten to you?
46,undefined,undefined,dialogue,Jill,No... well. Yeah. But it's not that.
47,undefined,undefined,dialogue,Jill,My boss has been acting weird since Friday.
48,undefined,undefined,dialogue,Betty,Weird how?
49,undefined,undefined,dialogue,Betty,Romantic weird? Drug-addict weird? Let's-hope-nobody-finds-the-body-in-the-fridge weird?
50,undefined,undefined,dialogue,Jill,"For starters, there's the fact she only told me we were being booked moments before we opened."
51,undefined,undefined,dialogue,Jill,"Plus, she seems completely distracted or lost in her thoughts."
52,undefined,undefined,dialogue,Betty,Like you.
53,undefined,undefined,dialogue,Jill,Worse.
54,undefined,undefined,dialogue,Betty,Oh...
