line,filename,lines,type,character,text
0,script10.txt,604,META,undefined,undefined
2,undefined,undefined,dialogue,Jill,G'evening.
3,undefined,undefined,dialogue,Gillian,Are you okay?
4,undefined,undefined,dialogue,Jill,I feel like shit.
5,undefined,undefined,dialogue,Gillian,You sure you should've come then? You're in all the right to stay at home.
6,undefined,undefined,dialogue,Jill,I have to come.
7,undefined,undefined,dialogue,Jill,I threw away everything I had in my life to be here.
8,undefined,undefined,dialogue,Jill,People I loved were pushed aside just so I could enjoy my freedom of being here.
9,undefined,undefined,dialogue,Jill,"My stupid, stupid freedom..."
10,undefined,undefined,dialogue,Jill,...
11,undefined,undefined,dialogue,Jill,"So I will come here until I die, even after the bar closes, until my hair falls out."
12,undefined,undefined,dialogue,Gillian,You're the one who looks like she's about to fall apart.
13,undefined,undefined,dialogue,Gillian,Your eyes are red and swollen.
14,undefined,undefined,dialogue,Jill,Yeah? Well... your hair is... hairy!
15,undefined,undefined,dialogue,Gillian,"Yes, it is."
16,undefined,undefined,dialogue,Jill,Agh! Who was the dipshit that changed the order of the glasses?!
17,undefined,undefined,dialogue,Gillian,"It was me. I was the one washing dishes yesterday, remember?"
18,undefined,undefined,dialogue,Jill,"Oh yeah, I was too busy staring at my crumbling life and all that."
19,undefined,undefined,dialogue,Gillian,"Why don't you go home, Jill? You're in no position to deal with people right now."
20,undefined,undefined,dialogue,Gillian,"Go home, rest a bit."
21,undefined,undefined,dialogue,Jill,My girlfrie-... my ex-girlfriend died and I wasn't there to see her one last time.
22,undefined,undefined,dialogue,Jill,"All because of a fight I spent all these years regretting and wishing to, but never actually apologizing for."
23,undefined,undefined,dialogue,Jill,My decision to assert my freedom and grab a hold of my life led me to this.
24,undefined,undefined,dialogue,Jill,A bartender strapped for cash that distanced herself from her loved ones for no other reason than selfishness.
25,undefined,undefined,dialogue,Jill,"So I won't fucking leave. I threw all of that away to be here, so here I will stay!"
26,undefined,undefined,dialogue,Jill,"This is what I wanted, this is why I left all of that behind, this is why..."
27,undefined,undefined,dialogue,Jill,...
28,undefined,undefined,dialogue,Gillian,See? You're starting to sound like a broken record.
